
                             _AT:AT3 PI: PART-  _UT:UT3 PI: PART-  _VT:VT3 PI: PART-
                  X             1-1 N: 975_1       1-1 N: 975_1       1-1 N: 975_1  

              147.5E-03         -117.708E-03        -55.2862E-06         1.6871E-03 
              148.E-03          -142.21E-03         -54.4585E-06         1.62173E-03
              148.5E-03         -157.053E-03        -53.6661E-06         1.54662E-03
              149.E-03          -164.708E-03        -52.9128E-06         1.46599E-03
              149.5E-03         -168.207E-03        -52.2005E-06         1.38271E-03
              150.E-03          -170.725E-03        -51.5303E-06         1.29805E-03
              150.5E-03         -175.15E-03         -50.9027E-06         1.21177E-03
              151.E-03          -183.702E-03        -50.319E-06          1.12231E-03
              151.5E-03         -197.681E-03        -49.7813E-06         1.02725E-03
              152.E-03          -217.378E-03        -49.2932E-06       923.766E-06  
              152.5E-03         -242.133E-03        -48.8594E-06       809.12E-06   
              153.E-03          -270.515E-03        -48.4863E-06       681.115E-06  
              153.5E-03         -300.571E-03        -48.1808E-06       538.41E-06   
              154.E-03          -330.068E-03        -47.9504E-06       380.72E-06   
              154.5E-03         -356.692E-03        -47.8024E-06       208.901E-06  
              155.E-03          -378.184E-03        -47.7435E-06        24.9603E-06 
              155.5E-03         -392.396E-03        -47.779E-06       -167.995E-06  
              156.E-03          -397.311E-03        -47.9123E-06      -365.814E-06  
              156.5E-03         -391.069E-03        -48.1447E-06      -563.378E-06  
              157.E-03          -372.024E-03        -48.4746E-06      -754.683E-06  
              157.5E-03         -338.869E-03        -48.8973E-06      -932.985E-06  
              158.E-03          -290.826E-03        -49.4043E-06        -1.09101E-03
              158.5E-03         -227.867E-03        -49.9836E-06        -1.22126E-03
              159.E-03          -150.922E-03        -50.6197E-06        -1.31649E-03
              159.5E-03          -62.0185E-03       -51.2932E-06        -1.37014E-03
              160.E-03            35.7112E-03       -51.982E-06         -1.37698E-03
              160.5E-03          138.167E-03        -52.6618E-06        -1.33359E-03
              161.E-03           240.571E-03        -53.307E-06         -1.23878E-03
              161.5E-03          337.87E-03         -53.8922E-06        -1.09384E-03
              162.E-03           425.188E-03        -54.3931E-06      -902.546E-06  
              162.5E-03          498.257E-03        -54.788E-06       -670.998E-06  
              163.E-03           553.755E-03        -55.0587E-06      -407.196E-06  
              163.5E-03          589.51E-03         -55.1914E-06      -120.516E-06  
              164.E-03           604.547E-03        -55.1771E-06       178.876E-06  
              164.5E-03          599.005E-03        -55.0121E-06       480.614E-06  
              165.E-03           573.95E-03         -54.6978E-06       774.64E-06   
              165.5E-03          531.154E-03        -54.2403E-06         1.05162E-03
              166.E-03           472.882E-03        -53.6504E-06         1.30322E-03
              166.5E-03          401.731E-03        -52.9425E-06         1.52236E-03
              167.E-03           320.535E-03        -52.1344E-06         1.70328E-03
              167.5E-03          232.319E-03        -51.2463E-06         1.84172E-03
              168.E-03           140.29E-03         -50.3003E-06         1.93496E-03
              168.5E-03           47.8031E-03       -49.3191E-06         1.98193E-03
              169.E-03           -41.7073E-03       -48.3259E-06         1.98325E-03
              169.5E-03         -124.871E-03        -47.3431E-06         1.94127E-03
              170.E-03          -198.584E-03        -46.3912E-06         1.85995E-03
              170.5E-03         -260.254E-03        -45.4888E-06         1.74468E-03
              171.E-03          -308.041E-03        -44.6511E-06         1.60199E-03
              171.5E-03         -341.045E-03        -43.8902E-06         1.43909E-03
              172.E-03          -359.404E-03        -43.2142E-06         1.26337E-03
              172.5E-03         -364.265E-03        -42.6278E-06         1.08191E-03
              173.E-03          -357.628E-03        -42.1322E-06       900.99E-06   
              173.5E-03         -342.086E-03        -41.7258E-06       725.733E-06  
              174.E-03          -320.503E-03        -41.4049E-06       559.875E-06  
              174.5E-03         -295.685E-03        -41.164E-06        405.728E-06  
              175.E-03          -270.087E-03        -40.997E-06        264.276E-06  
              175.5E-03         -245.606E-03        -40.8976E-06       135.408E-06  
              176.E-03          -223.482E-03        -40.8597E-06        18.2282E-06 
              176.5E-03         -204.29E-03         -40.8777E-06       -88.6133E-06 
              177.E-03          -188.026E-03        -40.9468E-06      -186.603E-06  
              177.5E-03         -174.227E-03        -41.063E-06       -277.105E-06  
              178.E-03          -162.117E-03        -41.2228E-06      -361.167E-06  
              178.5E-03         -150.734E-03        -41.4232E-06      -439.4E-06    
              179.E-03          -139.023E-03        -41.6613E-06      -511.906E-06  
              179.5E-03         -125.905E-03        -41.9341E-06      -578.25E-06   
              180.E-03          -110.316E-03        -42.2383E-06      -637.462E-06  
              180.5E-03          -91.2437E-03       -42.5701E-06      -688.05E-06   
              181.E-03           -67.7814E-03       -42.9246E-06      -728.04E-06   
              181.5E-03          -39.1986E-03       -43.296E-06       -755.046E-06  
              182.E-03            -5.03848E-03      -43.6771E-06      -766.378E-06  
              182.5E-03           34.773E-03        -44.0593E-06      -759.212E-06  
              183.E-03            79.826E-03        -44.4327E-06      -730.803E-06  
              183.5E-03          129.158E-03        -44.7862E-06      -678.746E-06  
              184.E-03           181.238E-03        -45.1072E-06      -601.261E-06  
              184.5E-03          234.016E-03        -45.383E-06       -497.468E-06  
              185.E-03           285.042E-03        -45.6004E-06      -367.616E-06  
              185.5E-03          331.641E-03        -45.7465E-06      -213.245E-06  
              186.E-03           371.119E-03        -45.81E-06         -37.2467E-06 
              186.5E-03          400.982E-03        -45.7809E-06       156.184E-06  
              187.E-03           419.134E-03        -45.6518E-06       361.695E-06  
              187.5E-03          424.025E-03        -45.4182E-06       573.017E-06  
              188.E-03           414.763E-03        -45.079E-06        783.269E-06  
              188.5E-03          391.148E-03        -44.6363E-06       985.294E-06  
              189.E-03           353.676E-03        -44.0962E-06         1.17201E-03
              189.5E-03          303.488E-03        -43.468E-06          1.33676E-03
              190.E-03           242.303E-03        -42.7641E-06         1.47357E-03
              190.5E-03          172.324E-03        -41.9999E-06         1.5775E-03 
              191.E-03            96.1459E-03       -41.1927E-06         1.64477E-03
              191.5E-03           16.6378E-03       -40.3616E-06         1.67299E-03
              192.E-03           -63.172E-03        -39.5264E-06         1.66126E-03
              192.5E-03         -140.232E-03        -38.7069E-06         1.61018E-03
